,中文,英文,日文
Title,悠郵中山樓郵票展,Leisure in Philately: A Exhibition of Chungshan Hall Stamps,中山楼切手展
Content,"眼前穿廊所見的各式郵票,最主要是為了慶祝「國立台灣圖書館建館100週年」所精心規劃的<悠郵中山樓郵票常設展>、在中華郵政股份有限公司的協助下,特別展出中山樓歷年的紀念郵票及相關行憲紀念、國慶紀念及元首紀念等相關郵票,內容規劃成5大展覽主題:分別是歷史印記-中山樓、永懷領袖、行憲紀念、總統就職、歡慶建國。這些郵票不僅是對中山樓近50年來的輝煌歷史做了最佳的見證,無異也可視為見證臺灣民主憲政發展一張張的珍貴史料。","This is “Leisure in Philately: A Permanent Exhibition of Chungshan Hall Stamps,” an exhibition on behalf of celebrating the 100th anniversary of National Taiwan Library. With the assistance of Chunghwa Post Company, this exhibition consists of stamps issued on occasion of commemorating Chungshan Hall, Constitution, National Holiday, Presidents, etc. There are five themes:

(1) “Chungshan Hall” introduces stamps that use Chungshan Hall as the background
(2) “Remembering Presidents” (Dr. Sun Yat-sen and Chiang Kai-shek).
(3) “Commemorating Constitution” .
(4) “The inauguration of Presidents” . 
(5)The last theme “Joy to the Nation Founding” . 

These stamps not only witness five decades’ glory of Chungshan Hall, but also serve as precious records of Taiwan’s Democratic and Constitutional development.","ご覧になっているさまざまな切手は、国立台湾図書館創立百周年を記念して企画された「中山楼切手常設展」の展示内容です。中華郵政公司の協力により、中山楼の歴代記念切手、そして憲法記念日、双十節、総統就任記念などの切手を特別に公開しており、展示内容は「歴史の記憶―中山楼」「永遠のリーダー」「憲法記念」「総統・副総統就任」「建国記念」、この五つのテーマで構成されています。

  これらの切手は五十年近くに及ぶ中山楼の輝かしい歴史の証であり、台湾の民主・憲政の発展を見届けてきた貴重な史料です。"
Image01,展品01照片01,Photo01,展品01照片01日文
Image02,展品01照片02,Photo02,展品01照片02日文
Image03,展品01照片03,Photo03,展品01照片03日文
Image04,展品01照片04,Photo04,展品01照片04日文
Image05,展品01照片05,Photo05,展品01照片05日文
Image06,展品01照片06,Photo06,展品01照片06日文
