一樓,圓廳,會客廳,樓史室,樓史室外走廊,憲政發展走廊,文化堂,文化堂後川堂,西廂房,會議廳
二樓,走廊,,,,,,,,
三樓,國宴廳,國宴廳外走廊,圓廳,,,,,,
