一樓-圓廳,1,2,3,,
一樓-會客廳,4,5,6,7,8
一樓-樓史室,9,10,,,
一樓-樓史室外走廊,11,,,,
一樓-憲政發展走廊,12,13,14,,
一樓-文化堂,15,16,17,,
一樓-文化堂後川堂,18,,,,
一樓-西廂房,19,20,21,22,
一樓-會議廳,23,24,25,26,
二樓-走廊,27,28,29,30,
三樓-國宴廳,31,32,33,34,
三樓-國宴廳外走廊,35,36,37,,
三樓-圓廳,38,39,40,,
