,中文,英文,日文
Title,國父座像 ,The Statue of Dr. Sun Yat-Sen,国父座像
Content,"    映入眼簾的這尊國父座像建於民國77年,為了紀念孫中山先生偉大的人格及革命行誼所特別製作而成。將它安放在此,說明了中山樓結合著國父精神與傳統文化的意義象徵。

    為避免硫磺氣的傷害,本館特別延請林木川先生以玻璃纖維的材質、進行翻製模型製作。由於玻璃纖維具有絕緣、隔熱、抗腐蝕的特性,所以非常合適在這個具有硫磺蒸氣的環境。

    看看國父的扮相,他身著長袍馬褂,坐在太師椅上,雙手放在<中華民國建國大綱>的卷軸上面。請您墊腳看看 ! 卷軸上刻印著「中華民國建國大綱」的字樣。林木川為了要表現國父革命建國的精神,特別專注在雕像頭部的刻畫。他將國父期盼國人努力革新的心情,全都注入在五官的神情上頭。整座雕像散發宏偉、莊嚴的浩然正氣。","In front of you is the statue of Dr. Sun Yat-sen. Built in 1988, this statue was made particularly in order to commemorate both the probity and the revolutionary deeds of Dr. Sun Yat-sen.  Both the spirit of Dr. Sun Yat-sen and traditional culture can be very well combined in Chungshan Hall.

In order to prevent the damage from sulfur, this statue, designed by Mr. Lin Mu-chuan, is made out of glass fiber, a material that fights against electricity, heat, and corrosion.  Look at the founding father’s outfit. Dressed in a long gown, he is sitting on the wooden fauteuil, with his hands upon the scrolls of Fundamentals of National Reconstruction. Tip your toes! There are inscribed Chinese characters of Fundamentals of National Reconstruction. For the purpose of glorifying Dr. Sun Yat-sen’s revolutionary spirit, Mr. Lin pays special attention to the making of the statue’s head.

It is interesting that this statue resembles the one in the basement lounge of the National Palace Museum. Next time when you visit the National Palace Museum, remember to compare these two statues.
","  この国父座像は国父である孫文の偉大な人格と革命における事跡を記念して特別に製作され、1988年に設置されました。この座像は中山楼において孫文の
精神と中国の伝統文化が融合していることを表現しています。

  この像は硫黄による腐食を防ぐため、ガラスファイバーで作られています。ガラスファイバーは絶縁・断熱・耐腐食の特性があり、そのためこの硫黄分を含む蒸気が立つ環境には大変ふさわしいのです。

  この像の様子を見てみますと、孫文は中国服を身にまとって「太師椅」と呼ばれる大型の肘掛け椅子に座り、両手をある書物の上に置いています。よく見るとその上には「中華民国建国大綱」と記されています。この像の作者は国父の革命建国精神を表現するために、頭部の描写において特に心を込めたそうです。それは孫文が国民全員が努力して革新することを望んだその思いです。像全体から壮大かつ堂々とした気風が伝わってきます。"
Image01,展品01照片01,Photo01,展品01照片01日文
Image02,展品01照片02,Photo02,展品01照片02日文
Image03,展品01照片03,Photo03,展品01照片03日文
Image04,展品01照片04,Photo04,展品01照片04日文
Image05,展品01照片05,Photo05,展品01照片05日文
Image06,展品01照片06,Photo06,展品01照片06日文
